namahotel,bintang,deskripsi,facility,nearbyattraction
Ndalem Padma Asri Yogyakarta,2,"Designed in modern architecture combined Java architecture that provides a classic but comfortable atmosphere and beautiful for guests who stay at Ndalem Padma Asri.
We have 4 type of rooms such as, Standard, Superior, Deluxe, and Suite Rooms. Equipped with air conditioning, LCD TV 32”, hot & cold water.
The guesthouse offers Indonesian and American choices for breakfast. Indonesian specialty menu also available at the restaurant, and guests can also order room service.
Further facilities including free hot spot, car rental & bike rental, laundry service and taxi service. Ndalem Padma Asri is located in the north of Yogyakarta in Jalan Padma No. 23 Palagan Tentara Pelajar. The location is not far from downtown Yogyakarta, enough 15 minutes was able to achieve such Malioboro, Sultan Palace, Railway Station, Airport Adisucipto, and Traditional Market BERINGHARJO. Ndalem Padma Asri is located in North Jogja closer to leading tourist attractions like Kaliurang, Prambanan, Borobudur and Boko temple, or Baron Parangtritis beach tourism and others.","Designed in modern architecture combined Java architecture that provides a classic but comfortable atmosphere and beautiful for guests who stay at Ndalem Padma Asri.
We have 4 type of rooms such as, Standard, Superior, Deluxe, and Suite Rooms. Equipped with air conditioning, LCD TV 32”, hot & cold water.
The guesthouse offers Indonesian and American choices for breakfast. Indonesian specialty menu also available at the restaurant, and guests can also order room service.
Further facilities including free hot spot, car rental & bike rental, laundry service and taxi service. Ndalem Padma Asri is located in the north of Yogyakarta in Jalan Padma No. 23 Palagan Tentara Pelajar. The location is not far from downtown Yogyakarta, enough 15 minutes was able to achieve such Malioboro, Sultan Palace, Railway Station, Airport Adisucipto, and Traditional Market BERINGHARJO. Ndalem Padma Asri is located in North Jogja closer to leading tourist attractions like Kaliurang, Prambanan, Borobudur and Boko temple, or Baron Parangtritis beach tourism and others.",none
Ndalem Sarengat,2,"This property located near Palace of Yogyakarta. Along with a refrigerator in a common area, this bed & breakfast has concierge services and laundry facilities. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Additionally, tour/ticket assistance, a garden, and a TV in a common area are onsite. All 6 rooms offer free WiFi, room service, and electric kettles. Free bottled water, showers, and desks are among the other amenities that guests will find. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access. Additional features at this bed & breakfast include concierge services and a television in a common area.
Featured amenities include laundry facilities and refrigerator in a common area. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.
The front desk is open daily from 6 AM - 11 PM. 
 24-hour airport shuttle service is available. Fees may apply. Contact the property in advance to get details.
Make yourself at home in one of the 6 air-conditioned guestrooms. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
Take advantage of the bed & breakfast's room service (during limited hours). A complimentary local cuisine breakfast is served daily from 8:00 AM to 11:00 AM.
 Nearby Attractions
 Alun Alun Kidul 0.6 km / 0.4 mi Sasono Hinggil 0.7 km / 0.4 mi Gumuling Well 1.2 km / 0.8 mi Sonobudoyo Museum 1.3 km / 0.8 mi Water Castle (Tamansari) 1.3 km / 0.8 mi Taman Pintar Science Park 1.3 km / 0.8 mi Kampoeng Cyber 1.4 km / 0.9 mi Palace of Yogyakarta1.4 km / 0.9 mi Malioboro Street 1.5 km / 0.9 mi Fort Vredeburg Museum 1.5 km / 0.9 mi Gedung Agung 1.5 km / 0.9 mi Batik Plentong 1.6 km / 1 mi Yogyakarta Presidential Palace 1.6 km / 1 mi Senopati 1.6 km / 1 mi Bringharjo Market 1.7 km / 1 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 11 km / 6.8 mi","This property located near Palace of Yogyakarta. Along with a refrigerator in a common area, this bed & breakfast has concierge services and laundry facilities. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Additionally, tour/ticket assistance, a garden, and a TV in a common area are onsite. All 6 rooms offer free WiFi, room service, and electric kettles. Free bottled water, showers, and desks are among the other amenities that guests will find. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access. Additional features at this bed & breakfast include concierge services and a television in a common area.
Featured amenities include laundry facilities and refrigerator in a common area. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.
The front desk is open daily from 6 AM - 11 PM. 
 24-hour airport shuttle service is available. Fees may apply. Contact the property in advance to get details.
Make yourself at home in one of the 6 air-conditioned guestrooms. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
Take advantage of the bed & breakfast's room service (during limited hours). A complimentary local cuisine breakfast is served daily from 8:00 AM to 11:00 AM.
  
", Alun Alun Kidul 0.6 km / 0.4 mi Sasono Hinggil 0.7 km / 0.4 mi Gumuling Well 1.2 km / 0.8 mi Sonobudoyo Museum 1.3 km / 0.8 mi Water Castle (Tamansari) 1.3 km / 0.8 mi Taman Pintar Science Park 1.3 km / 0.8 mi Kampoeng Cyber 1.4 km / 0.9 mi Palace of Yogyakarta1.4 km / 0.9 mi Malioboro Street 1.5 km / 0.9 mi Fort Vredeburg Museum 1.5 km / 0.9 mi Gedung Agung 1.5 km / 0.9 mi Batik Plentong 1.6 km / 1 mi Yogyakarta Presidential Palace 1.6 km / 1 mi Senopati 1.6 km / 1 mi Bringharjo Market 1.7 km / 1 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 11 km / 6.8 mi
Ndalem Timoho,2,"This property located near Malioboro Street. This guesthouse features concierge services, dry cleaning, and tour/ticket assistance. Free WiFi in public areas, free self parking, and free airport pick-up are also provided. Other amenities include a garden. All 5 rooms provide conveniences like sitting areas and coffee makers, plus free WiFi and LCD TVs with cable channels. Balconies or patios, premium bedding, and free bottled water are among the other amenities available to guests. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
Featured amenities include dry cleaning/laundry services and luggage storage. A shuttle from the airport to the hotel is complimentary (available 24 hours).
 24-hour airport shuttle service is available on request. Fees may apply. Contact the property in advance to make arrangements.
Make yourself at home in one of the 5 air-conditioned rooms featuring LCD televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries.
Cooked-to-order breakfasts are available for a fee.
 Nearby Attractions
 Sunan Kalijaga State Islamic University Yogyakarta 0.9 km / 0.5 mi Affandi Museum 1.1 km / 0.7 mi Lippo Plaza Jogja 1.2 km / 0.7 mi Siloam Hospital Yogyakarta 1.4 km / 0.9 mi Plaza Ambarrukmo 1.6 km / 1 mi Sasana Among Rogo 1.7 km / 1.1 mi Galeria Mall 2.1 km / 1.3 mi Kota Gede 2.2 km / 1.4 mi Jogja Expo Center 2.6 km / 1.6 mi Batik Museum 2.6 km / 1.6 mi Yogyakarta State University 2.7 km / 1.7 mi Faculty of Industrial Technology 2.8 km / 1.7 mi Gembira Loka Zoo 2.8 km / 1.7 mi Pakualaman Palace 3.1 km / 1.9 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 3.3 km / 2 mi The preferred airport for Ndalem Timoho is Yogyakarta (JOG-Adisucipto Intl.) - 5.9 km / 3.7 mi","This property located near Malioboro Street. This guesthouse features concierge services, dry cleaning, and tour/ticket assistance. Free WiFi in public areas, free self parking, and free airport pick-up are also provided. Other amenities include a garden. All 5 rooms provide conveniences like sitting areas and coffee makers, plus free WiFi and LCD TVs with cable channels. Balconies or patios, premium bedding, and free bottled water are among the other amenities available to guests. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
Featured amenities include dry cleaning/laundry services and luggage storage. A shuttle from the airport to the hotel is complimentary (available 24 hours).
 24-hour airport shuttle service is available on request. Fees may apply. Contact the property in advance to make arrangements.
Make yourself at home in one of the 5 air-conditioned rooms featuring LCD televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries.
Cooked-to-order breakfasts are available for a fee.
  
", Sunan Kalijaga State Islamic University Yogyakarta 0.9 km / 0.5 mi Affandi Museum 1.1 km / 0.7 mi Lippo Plaza Jogja 1.2 km / 0.7 mi Siloam Hospital Yogyakarta 1.4 km / 0.9 mi Plaza Ambarrukmo 1.6 km / 1 mi Sasana Among Rogo 1.7 km / 1.1 mi Galeria Mall 2.1 km / 1.3 mi Kota Gede 2.2 km / 1.4 mi Jogja Expo Center 2.6 km / 1.6 mi Batik Museum 2.6 km / 1.6 mi Yogyakarta State University 2.7 km / 1.7 mi Faculty of Industrial Technology 2.8 km / 1.7 mi Gembira Loka Zoo 2.8 km / 1.7 mi Pakualaman Palace 3.1 km / 1.9 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 3.3 km / 2 mi The preferred airport for Ndalem Timoho is Yogyakarta (JOG-Adisucipto Intl.) - 5.9 km / 3.7 mi
NEO+ Awana Yogyakarta,3,"Neo+ Awana Yogyakarta offers a modern and chic stay in the heart of Yogyakarta. The property features an outdoor swimming pool, free WiFi access in all areas and free on-site private parking for guests who drive.
Each of the modernly designed room at Neo+ Awana Yogyakarta is air-conditioned and fitted with a seating area, a fridge, flat-screen satellite TV, and a personal safe. The en suite bathroom has shower facility, slippers and free toiletries. Fresh towels and bed linens are provided in the room. Guests can enjoy views of the city or the pool from their rooms.
Noodle Restaurant serves all-day dining menu featuring Indonesian and Western dishes. 
There's an outdoor swimming pool, free WiFi access in all areas and free on-site private parking for guests who drive.","Neo+ Awana Yogyakarta offers a modern and chic stay in the heart of Yogyakarta. The property features an outdoor swimming pool, free WiFi access in all areas and free on-site private parking for guests who drive.
Each of the modernly designed room at Neo+ Awana Yogyakarta is air-conditioned and fitted with a seating area, a fridge, flat-screen satellite TV, and a personal safe. The en suite bathroom has shower facility, slippers and free toiletries. Fresh towels and bed linens are provided in the room. Guests can enjoy views of the city or the pool from their rooms.
Noodle Restaurant serves all-day dining menu featuring Indonesian and Western dishes. 
There's an outdoor swimming pool, free WiFi access in all areas and free on-site private parking for guests who drive.",none
Netjes Home,1,"This property located near Palace of Yogyakarta. This smoke-free hostel features coffee/tea in a common area, a refrigerator in a common area, and dry cleaning. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Other amenities include a 24-hour front desk, express check-in, and tour/ticket assistance. All rooms are individually decorated and offer free WiFi and portable fans. Guests can appreciate conveniences like living rooms and dining areas, and other amenities include refrigerators and stovetops. 
Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and a television in a common area.
Featured amenities include express check-in, dry cleaning/laundry services, and a 24-hour front desk. Free self parking is available onsite.
 
If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. This property does not provide hot water. For more details, please contact the property using the information on the reservation confirmation received after booking.
 
Make yourself at home in one of the 3 guestrooms featuring refrigerators. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries.
 
A complimentary local cuisine breakfast is served daily from 7 AM to 10 AM.
 Nearby Attractions 
 Kampoeng Cyber 1.3 km / 0.8 mi Water Castle (Tamansari) 1.3 km / 0.8 mi Batik Plentong 1.3 km / 0.8 mi Gumuling Well 1.5 km / 1 mi Sasono Hinggil 1.7 km / 1 mi Alun Alun Kidul 1.7 km / 1.1 mi Masjid Jogokariyan 1.7 km / 1.1 mi Lana Gallery 2.1 km / 1.3 mi Kraton Complex 2.4 km / 1.5 mi Museum Kereta Kraton 2.4 km / 1.5 mi Palace of Yogyakarta 2.5 km / 1.6 mi Sonobudoyo Museum 2.7 km / 1.7 mi Malioboro Street 2.7 km / 1.7 mi Yogyakarta Presidential Palace 3 km / 1.9 mi Fort Vredeburg Museum 3 km / 1.9 mi The preferred airport for Netjes Home is Yogyakarta (JOG-Adisucipto Intl.) - 16.9 km / 10.5 mi","This property located near Palace of Yogyakarta. This smoke-free hostel features coffee/tea in a common area, a refrigerator in a common area, and dry cleaning. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Other amenities include a 24-hour front desk, express check-in, and tour/ticket assistance. All rooms are individually decorated and offer free WiFi and portable fans. Guests can appreciate conveniences like living rooms and dining areas, and other amenities include refrigerators and stovetops. 
Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and a television in a common area.
Featured amenities include express check-in, dry cleaning/laundry services, and a 24-hour front desk. Free self parking is available onsite.
 
If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. This property does not provide hot water. For more details, please contact the property using the information on the reservation confirmation received after booking.
 
Make yourself at home in one of the 3 guestrooms featuring refrigerators. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries.
 
A complimentary local cuisine breakfast is served daily from 7 AM to 10 AM.
   
", Kampoeng Cyber 1.3 km / 0.8 mi Water Castle (Tamansari) 1.3 km / 0.8 mi Batik Plentong 1.3 km / 0.8 mi Gumuling Well 1.5 km / 1 mi Sasono Hinggil 1.7 km / 1 mi Alun Alun Kidul 1.7 km / 1.1 mi Masjid Jogokariyan 1.7 km / 1.1 mi Lana Gallery 2.1 km / 1.3 mi Kraton Complex 2.4 km / 1.5 mi Museum Kereta Kraton 2.4 km / 1.5 mi Palace of Yogyakarta 2.5 km / 1.6 mi Sonobudoyo Museum 2.7 km / 1.7 mi Malioboro Street 2.7 km / 1.7 mi Yogyakarta Presidential Palace 3 km / 1.9 mi Fort Vredeburg Museum 3 km / 1.9 mi The preferred airport for Netjes Home is Yogyakarta (JOG-Adisucipto Intl.) - 16.9 km / 10.5 mi
New Saphir Yogyakarta,4,"Yogyakarta or Jogja is a very peaceful city with its history and Javanese culture being a source of inspiration to many artists through the centuries. The proximity of the world famous Borobudur Temple and Prambanan Temple, as well as numerous other temples dating back to the 10th century has brought thousands of visitors to this city. The active volcano Merapi and popular beaches make a good one-day excursion. This hotel is furnished with business center, safe deposit box, batik shop and doctor on call. 
The hotel's conveniently and luxuriously designed rooms are complete with air conditioning units, a satellite TV, tea and coffee making facilities, as well as a minibar. A seating area and work desk are also provided. The bathroom is fitted with a bathtub and shower. Further standard in-room amenities include an International Direct Dial (IDD) telephone and internet access, as well as a non smoking room. 
Breakfast is served each morning at the hotel, and various menu options are served for lunch and dinner. The hotel boasts two fine dining venues, which are Promenade Cafe and Mirah Lounge. 
There is an outdoor swimming pool in the hotel grounds for those who want soak or sunbath at the poolside. Further features include a tennis court, gymnasium for guests who want to enjoy sport, and reflexology, traditional massages, aromatherapy and a Lulur scrub facility to pamper its guests during staying in this hotel.","Yogyakarta or Jogja is a very peaceful city with its history and Javanese culture being a source of inspiration to many artists through the centuries. The proximity of the world famous Borobudur Temple and Prambanan Temple, as well as numerous other temples dating back to the 10th century has brought thousands of visitors to this city. The active volcano Merapi and popular beaches make a good one-day excursion. This hotel is furnished with business center, safe deposit box, batik shop and doctor on call. 
The hotel's conveniently and luxuriously designed rooms are complete with air conditioning units, a satellite TV, tea and coffee making facilities, as well as a minibar. A seating area and work desk are also provided. The bathroom is fitted with a bathtub and shower. Further standard in-room amenities include an International Direct Dial (IDD) telephone and internet access, as well as a non smoking room. 
Breakfast is served each morning at the hotel, and various menu options are served for lunch and dinner. The hotel boasts two fine dining venues, which are Promenade Cafe and Mirah Lounge. 
There is an outdoor swimming pool in the hotel grounds for those who want soak or sunbath at the poolside. Further features include a tennis court, gymnasium for guests who want to enjoy sport, and reflexology, traditional massages, aromatherapy and a Lulur scrub facility to pamper its guests during staying in this hotel.",none
Nextdoor Homestay,2,"This property located near Malioboro Street. This smoke-free guesthouse features an outdoor pool, laundry facilities, and a garden. WiFi in public areas is free. Rooms offer free WiFi and showers. 
Take advantage of recreation opportunities such as an outdoor pool or take in the view from a terrace and a garden.
A roundtrip airport shuttle is available for a surcharge.
 There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Make yourself at home in one of the 15 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
 Nearby Attractions
 Batik Plentong 0.5 km / 0.3 mi Lana Gallery 1.1 km / 0.7 mi Masjid Jogokariyan 1.3 km / 0.8 mi Alun Alun Kidul 1.4 km / 0.9 mi Sasono Hinggil 1.5 km / 1 mi Taman Pintar Science Park 2 km / 1.3 mi Water Castle (Tamansari) 2.1 km / 1.3 mi Gumuling Well 2.1 km / 1.3 mi Kampoeng Cyber 2.1 km / 1.3 mi Malioboro Street 2.2 km / 1.4 mi Sonobudoyo Museum 2.2 km / 1.4 mi De Mata Trick Eye 3D Museum 2.3 km / 1.4 mi Senopati 2.3 km / 1.5 mi Palace of Yogyakarta 2.4 km / 1.5 mi Fort Vredeburg Museum 2.4 km / 1.5 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 11.9 km / 7.4 mi","This property located near Malioboro Street. This smoke-free guesthouse features an outdoor pool, laundry facilities, and a garden. WiFi in public areas is free. Rooms offer free WiFi and showers. 
Take advantage of recreation opportunities such as an outdoor pool or take in the view from a terrace and a garden.
A roundtrip airport shuttle is available for a surcharge.
 There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Make yourself at home in one of the 15 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
  
", Batik Plentong 0.5 km / 0.3 mi Lana Gallery 1.1 km / 0.7 mi Masjid Jogokariyan 1.3 km / 0.8 mi Alun Alun Kidul 1.4 km / 0.9 mi Sasono Hinggil 1.5 km / 1 mi Taman Pintar Science Park 2 km / 1.3 mi Water Castle (Tamansari) 2.1 km / 1.3 mi Gumuling Well 2.1 km / 1.3 mi Kampoeng Cyber 2.1 km / 1.3 mi Malioboro Street 2.2 km / 1.4 mi Sonobudoyo Museum 2.2 km / 1.4 mi De Mata Trick Eye 3D Museum 2.3 km / 1.4 mi Senopati 2.3 km / 1.5 mi Palace of Yogyakarta 2.4 km / 1.5 mi Fort Vredeburg Museum 2.4 km / 1.5 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 11.9 km / 7.4 mi
Ngampilan Backpacker Hostel,2,"This property located in Yogyakarta (Central Yogyakarta). This smoke-free hostel features a garden and free WiFi in public areas. Rooms feature free WiFi, minibars, and premium bedding. Ceiling fans and showers are also available to guests. Bathrooms are shared. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
 There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Make yourself at home in one of the guestrooms featuring minibars. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
Local cuisine breakfasts are available daily from 7:00 AM to 9:30 AM for a fee.
 Nearby Attractions
 Malioboro Street 1.1 km / 0.7 mi Yogyakarta Presidential Palace 1.3 km / 0.8 mi Fort Vredeburg Museum 1.3 km / 0.8 mi Gedung Agung 1.3 km / 0.8 mi Bringharjo Market 1.3 km / 0.8 m iPasar Beringharjo 1.4 km / 0.9 mi Museum Kereta Kraton 1.4 km / 0.9 mi Senopati 1.5 km / 0.9 mi Sonobudoyo Museum 1.5 km / 0.9 mi Taman Pintar Science Park 1.5 km / 1 mi Malioboro Mall 1.6 km / 1 mi Palace of Yogyakarta 1.6 km / 1 mi Kraton Complex 1.8 km / 1.1 mi Museum Sasana Wiratama 1.9 km / 1.2 mi Gumuling Well 1.9 km / 1.2 mi The preferred airport for Ngampilan Backpacker Hostel is Yogyakarta (JOG-Adisucipto Intl.) - 11 km / 6.8 mi","This property located in Yogyakarta (Central Yogyakarta). This smoke-free hostel features a garden and free WiFi in public areas. Rooms feature free WiFi, minibars, and premium bedding. Ceiling fans and showers are also available to guests. Bathrooms are shared. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
 There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Make yourself at home in one of the guestrooms featuring minibars. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
Local cuisine breakfasts are available daily from 7:00 AM to 9:30 AM for a fee.
  
", Malioboro Street 1.1 km / 0.7 mi Yogyakarta Presidential Palace 1.3 km / 0.8 mi Fort Vredeburg Museum 1.3 km / 0.8 mi Gedung Agung 1.3 km / 0.8 mi Bringharjo Market 1.3 km / 0.8 m iPasar Beringharjo 1.4 km / 0.9 mi Museum Kereta Kraton 1.4 km / 0.9 mi Senopati 1.5 km / 0.9 mi Sonobudoyo Museum 1.5 km / 0.9 mi Taman Pintar Science Park 1.5 km / 1 mi Malioboro Mall 1.6 km / 1 mi Palace of Yogyakarta 1.6 km / 1 mi Kraton Complex 1.8 km / 1.1 mi Museum Sasana Wiratama 1.9 km / 1.2 mi Gumuling Well 1.9 km / 1.2 mi The preferred airport for Ngampilan Backpacker Hostel is Yogyakarta (JOG-Adisucipto Intl.) - 11 km / 6.8 mi
NOMORE Gallery and Guesthouse,2,"This property located near Palace of Yogyakarta. Dry cleaning, laundry facilities, and barbecue grills are available at this bed & breakfast. Free WiFi in public areas and free self parking are also provided. Other amenities include free breakfast. Rooms feature free WiFi, room service, and free bottled water. Other amenities available to guests include fans, showers, and free toiletries. 
This bed & breakfast offers designated smoking areas.
Free self parking is available onsite.
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and fans, and housekeeping is provided daily.
Take advantage of the bed & breakfast's room service (during limited hours). A complimentary breakfast is included.
 Nearby Attractions
 Sonobudoyo Museum 0.6 km / 0.3 mi Palace of Yogyakarta 0.7 km / 0.4 mi Fort Vredeburg Museum 0.8 km / 0.5 mi Gedung Agung 0.8 km / 0.5 mi Malioboro Street 0.8 km / 0.5 mi Museum Kereta Kraton 0.8 km / 0.5 mi Taman Pintar Science Park 0.9 km / 0.6 mi Yogyakarta Presidential Palace 0.9 km / 0.6 mi Bringharjo Market 0.9 km / 0.6 mi Pasar Beringharjo 1 km / 0.6 mi Kraton Complex 1.1 km / 0.7 mi Senopati 1.1 km / 0.7 mi Alun Alun Kidul 1.3 km / 0.8 mi Sasono Hinggil 1.3 km / 0.8 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 1.5 km / 0.9 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 10.6 km / 6.6 mi","This property located near Palace of Yogyakarta. Dry cleaning, laundry facilities, and barbecue grills are available at this bed & breakfast. Free WiFi in public areas and free self parking are also provided. Other amenities include free breakfast. Rooms feature free WiFi, room service, and free bottled water. Other amenities available to guests include fans, showers, and free toiletries. 
This bed & breakfast offers designated smoking areas.
Free self parking is available onsite.
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and fans, and housekeeping is provided daily.
Take advantage of the bed & breakfast's room service (during limited hours). A complimentary breakfast is included.
  
", Sonobudoyo Museum 0.6 km / 0.3 mi Palace of Yogyakarta 0.7 km / 0.4 mi Fort Vredeburg Museum 0.8 km / 0.5 mi Gedung Agung 0.8 km / 0.5 mi Malioboro Street 0.8 km / 0.5 mi Museum Kereta Kraton 0.8 km / 0.5 mi Taman Pintar Science Park 0.9 km / 0.6 mi Yogyakarta Presidential Palace 0.9 km / 0.6 mi Bringharjo Market 0.9 km / 0.6 mi Pasar Beringharjo 1 km / 0.6 mi Kraton Complex 1.1 km / 0.7 mi Senopati 1.1 km / 0.7 mi Alun Alun Kidul 1.3 km / 0.8 mi Sasono Hinggil 1.3 km / 0.8 mi Museum Sasmitaloka Panglima Besar Jenderal Sudirman 1.5 km / 0.9 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 10.6 km / 6.6 mi
Novotel Yogyakarta,4,"This property offers modern facilities to discerning business or leisure visitors, and features executive lounge with internet access, email and fax facilities as well as computer and secretarial services. For families, this property offers safe play areas and balanced menus. With a total of 200 guest rooms, this air-conditioned establishment welcomes guests in a lobby with 24-hour reception and check-out services, a hotel safe, lift access and newspaper stand. Younger guests will surely enjoy the children's playground and kids' club, while the café, bar and restaurant serves tasty food and beverages. The conference facilities may be of use for its business guests, and for an additional fees room and laundry services are also available. Those arriving by car may leave their vehicle in the car park or garage. Bicycles can be hired on site. 
Featuring contemporary in design, rooms are traditional Javanese-style decoration in a warm and light ambiance using local material. The en-suite rooms are equipped with a shower, bathtub and a hairdryer, as well as double or king-size bed. Further amenities include a direct dial telephone, a satellite/cable TV, an internet access, a safe, a minibar, tea and coffee making facilities, as well as individually regulated air conditioning units. 
Guests will find a perfect mix of Asian delicacies and the best of French cuisine at the restaurant, which caters tasty cuisines for breakfast, lunch and dinner. 
Guest can relax at the outdoor landscaped pool or sunbath at the poolside while having cocktail and snacks at the poolside bar. Guests can join an aerobics class or work out in the gym. Massage and spa treatments are available for additional fees or relax in the sauna for those who want to pamper themselves. Guests may also play billiard and mini golf. Entertainment program are provided for both children and adults (fees apply).","This property offers modern facilities to discerning business or leisure visitors, and features executive lounge with internet access, email and fax facilities as well as computer and secretarial services. For families, this property offers safe play areas and balanced menus. With a total of 200 guest rooms, this air-conditioned establishment welcomes guests in a lobby with 24-hour reception and check-out services, a hotel safe, lift access and newspaper stand. Younger guests will surely enjoy the children's playground and kids' club, while the café, bar and restaurant serves tasty food and beverages. The conference facilities may be of use for its business guests, and for an additional fees room and laundry services are also available. Those arriving by car may leave their vehicle in the car park or garage. Bicycles can be hired on site. 
Featuring contemporary in design, rooms are traditional Javanese-style decoration in a warm and light ambiance using local material. The en-suite rooms are equipped with a shower, bathtub and a hairdryer, as well as double or king-size bed. Further amenities include a direct dial telephone, a satellite/cable TV, an internet access, a safe, a minibar, tea and coffee making facilities, as well as individually regulated air conditioning units. 
Guests will find a perfect mix of Asian delicacies and the best of French cuisine at the restaurant, which caters tasty cuisines for breakfast, lunch and dinner. 
Guest can relax at the outdoor landscaped pool or sunbath at the poolside while having cocktail and snacks at the poolside bar. Guests can join an aerobics class or work out in the gym. Massage and spa treatments are available for additional fees or relax in the sauna for those who want to pamper themselves. Guests may also play billiard and mini golf. Entertainment program are provided for both children and adults (fees apply).",none
Nueve Jogja Hotel,2,"Housing a restaurant, Nueve Hotel is conveniently situated a 10-minute walk from the lively Malioboro Street. It features modern rooms with air conditioning and en suite bathrooms. Free Wi-Fi is accessible in all areas.
Rooms in Nueve Hotel are well appointed with a flat-screen satellite TV, desk and towels. Some rooms feature a coffee machine and a safety deposit box, while each en suite bathroom provides shower facilities and free toiletries.
Songo Restaurant serves Indonesian cuisine and provides room service.
Operating a 24-hour front desk, the hotel offers luggage storage facilities, concierge and laundry services. Airport transfers, area shuttles and car rental can be arranged on site.","Housing a restaurant, Nueve Hotel is conveniently situated a 10-minute walk from the lively Malioboro Street. It features modern rooms with air conditioning and en suite bathrooms. Free Wi-Fi is accessible in all areas.
Rooms in Nueve Hotel are well appointed with a flat-screen satellite TV, desk and towels. Some rooms feature a coffee machine and a safety deposit box, while each en suite bathroom provides shower facilities and free toiletries.
Songo Restaurant serves Indonesian cuisine and provides room service.
Operating a 24-hour front desk, the hotel offers luggage storage facilities, concierge and laundry services. Airport transfers, area shuttles and car rental can be arranged on site.",none
